,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
176723,Ole Anton Olsen,M,22.0,Denmark,1912 Summer,1912,Summer,Football,2
176731,Conrad (Konrad-) Olsen,M,28.0,Norway,1920 Summer,1920,Summer,Rowing,1
176732,Peter Einar Olsen,M,19.0,Denmark,1912 Summer,1912,Summer,Gymnastics,2
176734,Frithjof Olsen,M,22.0,Norway,1906 Summer,1906,Summer,Gymnastics,3
176736,Frithjof Olsen,M,24.0,Norway,1908 Summer,1908,Summer,Gymnastics,2
176737,Frithjof Olsen,M,28.0,Norway,1912 Summer,1912,Summer,Gymnastics,1
176758,Jrgen Ib Olsen,M,18.0,Denmark,1948 Summer,1948,Summer,Rowing,1
176764,Joachim Brchner Olsen,M,27.0,Denmark,2004 Summer,2004,Summer,Athletics,2
176767,Jon C. Olsen,M,23.0,United States,1992 Summer,1992,Summer,Swimming,3
176768,Jon C. Olsen,M,23.0,United States,1992 Summer,1992,Summer,Swimming,1
176769,Jon C. Olsen,M,23.0,United States,1992 Summer,1992,Summer,Swimming,3
176771,Jon C. Olsen,M,27.0,United States,1996 Summer,1996,Summer,Swimming,3
176772,Jon C. Olsen,M,27.0,United States,1996 Summer,1996,Summer,Swimming,3
176776,Justin Bradley Olsen,M,22.0,United States-1,2010 Winter,2010,Winter,Bobsleigh,3
176785,Kristoffer Olsen,M,36.0,Irene,1920 Summer,1920,Summer,Sailing,3
176797,Morten Olsen,M,31.0,Denmark,2016 Summer,2016,Summer,Handball,3
176802,Ole Olsen,M,42.0,Denmark,1912 Summer,1912,Summer,Shooting,1
176812,Oskar Victor Olsen,M,26.0,Norway,1924 Winter,1924,Winter,Speed Skating,2
176818,Otto Martin Olsen,M,35.0,Norway,1920 Summer,1920,Summer,Shooting,2
176819,Otto Martin Olsen,M,35.0,Norway,1920 Summer,1920,Summer,Shooting,3
176823,Otto Martin Olsen,M,35.0,Norway,1920 Summer,1920,Summer,Shooting,2
176824,Otto Martin Olsen,M,35.0,Norway,1920 Summer,1920,Summer,Shooting,3
176825,Otto Martin Olsen,M,35.0,Norway,1920 Summer,1920,Summer,Shooting,3
176828,Otto Martin Olsen,M,39.0,Norway,1924 Summer,1924,Summer,Shooting,1
176829,Otto Martin Olsen,M,39.0,Norway,1924 Summer,1924,Summer,Shooting,3
176830,Otto Martin Olsen,M,39.0,Norway,1924 Summer,1924,Summer,Shooting,2
176842,Reno Bent Olsen,M,21.0,Denmark,1968 Summer,1968,Summer,Cycling,3
176845,Peter Richard Olsen,M,24.0,Denmark,1936 Summer,1936,Summer,Rowing,2
176859,Steen Lerche Olsen (-Lerkentorp),M,25.0,Denmark,1912 Summer,1912,Summer,Gymnastics,1
176860,Steen Lerche Olsen (-Lerkentorp),M,33.0,Denmark,1920 Summer,1920,Summer,Gymnastics,3
176861,Svend Egil Benjamin Olsen,M,23.0,Denmark,1932 Summer,1932,Summer,Weightlifting,2
176872,Zoe Ann Olsen-Jensen (-Bramham),F,17.0,United States,1948 Summer,1948,Summer,Diving,2
176873,Zoe Ann Olsen-Jensen (-Bramham),F,21.0,United States,1952 Summer,1952,Summer,Diving,1
176878,Sergey Petrovich Olshansky,M,24.0,Soviet Union,1972 Summer,1972,Summer,Football,1
176893,Gustaf Adolf Olson,M,24.0,Sweden,1908 Summer,1908,Summer,Gymnastics,3
176899,Oscar G. Olson,M,,Milwaukee Athletic Club-1,1904 Summer,1904,Summer,Tug-Of-War,3
176902,Carl Adolf Ragnar Olson,M,47.0,Sweden,1928 Summer,1928,Summer,Equestrianism,1
176903,Carl Adolf Ragnar Olson,M,47.0,Sweden,1928 Summer,1928,Summer,Equestrianism,2
176906,"Weldon Howard ""Weldy"" Olson",M,23.0,United States,1956 Winter,1956,Winter,Ice Hockey,2
176907,"Weldon Howard ""Weldy"" Olson",M,27.0,United States,1960 Winter,1960,Winter,Ice Hockey,3
176911,Anna Gunilla Olsson,F,20.0,Sweden,1984 Summer,1984,Summer,Canoeing,3
176912,Anna Gunilla Olsson,F,20.0,Sweden,1984 Summer,1984,Summer,Canoeing,2
176915,Anna Gunilla Olsson,F,28.0,Sweden,1992 Summer,1992,Summer,Canoeing,1
176916,Anna Gunilla Olsson,F,32.0,Sweden,1996 Summer,1996,Summer,Canoeing,1
176923,John Christian Bert Olsson,M,24.0,Sweden,2004 Summer,2004,Summer,Athletics,3
176946,Gunnar Alfred Olsson,M,32.0,Sweden,1992 Summer,1992,Summer,Canoeing,2
176953,Holmfrid Olsson,M,24.0,Sweden,1968 Winter,1968,Winter,Biathlon,1
176965,Johan Arne Olsson,M,25.0,Sweden,2006 Winter,2006,Winter,Cross Country Skiing,1
176967,Johan Arne Olsson,M,29.0,Sweden,2010 Winter,2010,Winter,Cross Country Skiing,1
176968,Johan Arne Olsson,M,29.0,Sweden,2010 Winter,2010,Winter,Cross Country Skiing,1
176969,Johan Arne Olsson,M,29.0,Sweden,2010 Winter,2010,Winter,Cross Country Skiing,3
176970,Johan Arne Olsson,M,33.0,Sweden,2014 Winter,2014,Winter,Cross Country Skiing,2
176972,Johan Arne Olsson,M,33.0,Sweden,2014 Winter,2014,Winter,Cross Country Skiing,3
176985,Mats ke Olsson,M,32.0,Sweden,1992 Summer,1992,Summer,Handball,2
176986,Mats ke Olsson,M,36.0,Sweden,1996 Summer,1996,Summer,Handball,2
176988,Nils Edvin Olsson,M,57.0,Sweden,1948 Summer,1948,Summer,Art Competitions,1
176990,Oluf Olsson,M,32.0,Denmark,1906 Summer,1906,Summer,Gymnastics,2
176992,Oluf Olsson,M,38.0,Denmark,1912 Summer,1912,Summer,Gymnastics,1
177005,Sean Nicholas Olsson,M,30.0,Great Britain,1998 Winter,1998,Winter,Bobsleigh,1
177007,Erik Staffan Olsson,M,28.0,Sweden,1992 Summer,1992,Summer,Handball,2
177008,Erik Staffan Olsson,M,32.0,Sweden,1996 Summer,1996,Summer,Handball,2
177009,Erik Staffan Olsson,M,36.0,Sweden,2000 Summer,2000,Summer,Handball,2
177014,David Thorild Olsson,M,25.0,Sweden,1912 Summer,1912,Summer,Athletics,2
177015,Karl Frithjof Olstad,M,21.0,Ormsund Roklub-2,1912 Summer,1912,Summer,Rowing,1
177016,Hans Oscar Olsen Olstad,M,24.0,Norway,1912 Summer,1912,Summer,Gymnastics,1
177036,Ioana Olteanu (Clin-),F,26.0,Romania,1992 Summer,1992,Summer,Rowing,2
177037,Ioana Olteanu (Clin-),F,30.0,Romania,1996 Summer,1996,Summer,Rowing,3
177038,Ioana Olteanu (Clin-),F,34.0,Romania,2000 Summer,2000,Summer,Rowing,3
177080,Nikolay Igorevich Olyunin,M,22.0,Russia,2014 Winter,2014,Winter,Snowboarding,2
177084,Alevtina Sergeyevna Olyunina-Smirnova (-Panarina),F,29.0,Soviet Union,1972 Winter,1972,Winter,Cross Country Skiing,2
177085,Alevtina Sergeyevna Olyunina-Smirnova (-Panarina),F,29.0,Soviet Union,1972 Winter,1972,Winter,Cross Country Skiing,3
177095,"Terrence M. ""Terry"" O'Malley",M,27.0,Canada,1968 Winter,1968,Winter,Ice Hockey,1
177103,Om Yun-Chol,M,20.0,North Korea,2012 Summer,2012,Summer,Weightlifting,3
177104,Om Yun-Chol,M,24.0,North Korea,2016 Summer,2016,Summer,Weightlifting,2
177128,Kano Omata,F,20.0,Japan,2016 Summer,2016,Summer,Synchronized Swimming,1
177156,Viktor Ivanovych Omelianovych,M,30.0,Soviet Union,1988 Summer,1988,Summer,Rowing,2
177163,Thierry Omeyer,M,31.0,France,2008 Summer,2008,Summer,Handball,3
177164,Thierry Omeyer,M,35.0,France,2012 Summer,2012,Summer,Handball,3
177165,Thierry Omeyer,M,39.0,France,2016 Summer,2016,Summer,Handball,2
177170,Navina Omilade (-Keller),F,22.0,Germany,2004 Summer,2004,Summer,Football,1
177179,Harcourt Ommundsen,M,29.0,Great Britain,1908 Summer,1908,Summer,Shooting,2
177181,Harcourt Ommundsen,M,33.0,Great Britain,1912 Summer,1912,Summer,Shooting,2
177184,Philippe Louis Ren Marcel Omns,M,23.0,France,1984 Summer,1984,Summer,Fencing,1
177187,Philippe Louis Ren Marcel Omns,M,31.0,France,1992 Summer,1992,Summer,Fencing,3
177224,Shaquille Rashuan O'Neal,M,24.0,United States,1996 Summer,1996,Summer,Basketball,3
177227,John Thomas O'Neil,M,21.0,United States,1920 Summer,1920,Summer,Rugby,3
177228,John Thomas O'Neil,M,25.0,United States,1924 Summer,1924,Summer,Rugby,3
177255,"Susan ""Susie"" O'Neill",F,18.0,Australia,1992 Summer,1992,Summer,Swimming,1
177259,"Susan ""Susie"" O'Neill",F,22.0,Australia,1996 Summer,1996,Summer,Swimming,1
177261,"Susan ""Susie"" O'Neill",F,22.0,Australia,1996 Summer,1996,Summer,Swimming,3
177262,"Susan ""Susie"" O'Neill",F,22.0,Australia,1996 Summer,1996,Summer,Swimming,2
177265,"Susan ""Susie"" O'Neill",F,27.0,Australia,2000 Summer,2000,Summer,Swimming,3
177267,"Susan ""Susie"" O'Neill",F,27.0,Australia,2000 Summer,2000,Summer,Swimming,2
177269,"Susan ""Susie"" O'Neill",F,27.0,Australia,2000 Summer,2000,Summer,Swimming,2
177270,"Susan ""Susie"" O'Neill",F,27.0,Australia,2000 Summer,2000,Summer,Swimming,2
177276,Givi Onashvili,M,25.0,Soviet Union,1972 Summer,1972,Summer,Judo,1
177317,Vanina Paula Oneto,F,27.0,Argentina,2000 Summer,2000,Summer,Hockey,2
177318,Vanina Paula Oneto,F,31.0,Argentina,2004 Summer,2004,Summer,Hockey,1
177366,Junko Onishi,F,25.0,Japan,2000 Summer,2000,Summer,Swimming,1
177374,Luiz Yoshio Onmura,M,24.0,Brazil,1984 Summer,1984,Summer,Judo,1
177379,Hitoshi Ono,M,19.0,Japan,1996 Summer,1996,Summer,Baseball,2
177394,Kiyoko Ono (Oizumi-),F,28.0,Japan,1964 Summer,1964,Summer,Gymnastics,1
177407,Shohei Ono,M,24.0,Japan,2016 Summer,2016,Summer,Judo,3
177411,Takashi Ono,M,20.0,Japan,1952 Summer,1952,Summer,Gymnastics,1
177416,Takashi Ono,M,25.0,Japan,1956 Summer,1956,Summer,Gymnastics,2
177417,Takashi Ono,M,25.0,Japan,1956 Summer,1956,Summer,Gymnastics,2
177420,Takashi Ono,M,25.0,Japan,1956 Summer,1956,Summer,Gymnastics,1
177421,Takashi Ono,M,25.0,Japan,1956 Summer,1956,Summer,Gymnastics,3
177423,Takashi Ono,M,25.0,Japan,1956 Summer,1956,Summer,Gymnastics,2
177424,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,2
177425,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,3
177427,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,3
177428,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,1
177429,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,3
177430,Takashi Ono,M,29.0,Japan,1960 Summer,1960,Summer,Gymnastics,1
177433,Takashi Ono,M,33.0,Japan,1964 Summer,1964,Summer,Gymnastics,3
177455,Henrietta nodi,F,18.0,Hungary,1992 Summer,1992,Summer,Gymnastics,2
177456,Henrietta nodi,F,18.0,Hungary,1992 Summer,1992,Summer,Gymnastics,3
177466,Jzsef nody,M,23.0,Hungary,1906 Summer,1906,Summer,Swimming,3
177481,Galina Viktorovna Onoprienko (Zhivilo-),F,29.0,Unified Team,1992 Summer,1992,Summer,Handball,1
177485,Ayana Onozuka,F,25.0,Japan,2014 Winter,2014,Winter,Freestyle Skiing,1
177493,Jakob Onsrud (Hanssen-),M,38.0,Norway,1920 Summer,1920,Summer,Shooting,2
177501,"Nwanyika Jenete C. ""Anyika"" Onuora",F,31.0,Great Britain,2016 Summer,2016,Summer,Athletics,1
177510,"Nkemdilim ""Mary"" Onyali-Omagbemi",F,24.0,Nigeria,1992 Summer,1992,Summer,Athletics,1
177512,"Nkemdilim ""Mary"" Onyali-Omagbemi",F,28.0,Nigeria,1996 Summer,1996,Summer,Athletics,1
177518,"Fredrick Momanyi ""Fred"" Onyancha",M,27.0,Kenya,1996 Summer,1996,Summer,Athletics,1
177527,Borys Hryhorovych Onyshchenko,M,31.0,Soviet Union,1968 Summer,1968,Summer,Modern Pentathlon,2
177528,Borys Hryhorovych Onyshchenko,M,34.0,Soviet Union,1972 Summer,1972,Summer,Modern Pentathlon,2
177529,Borys Hryhorovych Onyshchenko,M,34.0,Soviet Union,1972 Summer,1972,Summer,Modern Pentathlon,3
177532,Volodymyr Ivanovych Onyshchenko,M,22.0,Soviet Union,1972 Summer,1972,Summer,Football,1
177533,Volodymyr Ivanovych Onyshchenko,M,26.0,Soviet Union,1976 Summer,1976,Summer,Football,1
177553,"Hendrik ""Henk"" Ooms",M,20.0,Netherlands,1936 Summer,1936,Summer,Cycling,2
177574,"Justus Kinloch Ayres ""Jack"" Oosterlaak",M,24.0,South Africa,1920 Summer,1920,Summer,Athletics,2
177585,Maksim Aleksandrovich Opalev,M,21.0,Russia,2000 Summer,2000,Summer,Canoeing,2
177587,Maksim Aleksandrovich Opalev,M,25.0,Russia,2004 Summer,2004,Summer,Canoeing,1
177588,Maksim Aleksandrovich Opalev,M,29.0,Russia,2008 Summer,2008,Summer,Canoeing,3
177589,Charity Opara (-Asonze),F,24.0,Nigeria,1996 Summer,1996,Summer,Athletics,2
177594,Jerzy Janusz Opara,M,27.0,Poland,1976 Summer,1976,Summer,Canoeing,2
177598,Christy Opara-Thompson,F,22.0,Nigeria,1992 Summer,1992,Summer,Athletics,1
177600,Mobi Patrick Oparaku,M,19.0,Nigeria,1996 Summer,1996,Summer,Football,3
177609,Jacob Opdahl,M,18.0,Norway,1912 Summer,1912,Summer,Gymnastics,3
177610,Jacob Opdahl,M,26.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
177611,Nils Opdahl,M,29.0,Norway,1912 Summer,1912,Summer,Gymnastics,3
177630,Lucille Opitz (-Weber),F,28.0,Germany,2006 Winter,2006,Winter,Speed Skating,3
177647,Peter Allen Oppegard,M,28.0,United States-1,1988 Winter,1988,Winter,Figure Skating,1
177648,Richard Craig Oppel,M,21.0,United States,1988 Summer,1988,Summer,Swimming,3
177649,Britta Oppelt,F,26.0,Germany,2004 Summer,2004,Summer,Rowing,2
177650,Britta Oppelt,F,30.0,Germany,2008 Summer,2008,Summer,Rowing,1
177651,Britta Oppelt,F,34.0,Germany,2012 Summer,2012,Summer,Rowing,2
177654,Kurt Oppelt,M,23.0,Austria-1,1956 Winter,1956,Winter,Figure Skating,3
177656,Antonio Oppes,M,43.0,Italy,1960 Summer,1960,Summer,Equestrianism,1
177661,Salvatore Oppes,M,46.0,Italy,1956 Summer,1956,Summer,Equestrianism,2
177678,Laura Oprea,F,22.0,Romania,2016 Summer,2016,Summer,Rowing,1
177679,Marian Oprea,M,22.0,Romania,2004 Summer,2004,Summer,Athletics,2
177683,Vasile Oprea,M,27.0,Romania,1984 Summer,1984,Summer,Handball,1
177687,Elena Oprea-Horvat (-Florea),F,26.0,Romania,1984 Summer,1984,Summer,Rowing,3
177737,Carlos Mario Oquendo Zabala,M,24.0,Colombia,2012 Summer,2012,Summer,Cycling,1
177748,Heather Ann OReilly (-Werry),F,19.0,United States,2004 Summer,2004,Summer,Football,3
177749,Heather Ann OReilly (-Werry),F,23.0,United States,2008 Summer,2008,Summer,Football,3
177750,Heather Ann OReilly (-Werry),F,27.0,United States,2012 Summer,2012,Summer,Football,3
177755,Percy Philip O'Reilly,M,37.0,Ireland-3,1908 Summer,1908,Summer,Polo,2
177776,Ibrahim Orabi,M,,Egypt,1948 Summer,1948,Summer,Wrestling,1
177804,rpd Orbn,M,26.0,Hungary,1964 Summer,1964,Summer,Football,3
177813,Lszl Orbn,M,22.0,Hungary,1972 Summer,1972,Summer,Boxing,2
177816,Adrien Eugne Joseph Max Orban,M,24.0,Royal Club Nautique de Gand,1906 Summer,1906,Summer,Rowing,2
177818,Joseph Albert Clestin Rmy Orban,M,26.0,Royal Club Nautique de Gand,1906 Summer,1906,Summer,Rowing,2
177819,Joseph Albert Clestin Rmy Orban,M,28.0,Royal Club Nautique de Gand,1908 Summer,1908,Summer,Rowing,2
177821,Olga Orban-Szabo (Orbn-Szab),F,18.0,Romania,1956 Summer,1956,Summer,Fencing,2
177827,Olga Orban-Szabo (Orbn-Szab),F,30.0,Romania,1968 Summer,1968,Summer,Fencing,1
177829,Olga Orban-Szabo (Orbn-Szab),F,33.0,Romania,1972 Summer,1972,Summer,Fencing,1
177840,Simon Orchard,M,26.0,Australia,2012 Summer,2012,Summer,Hockey,1
177842,William G. J. Orchardson,M,,Scotland-3,1908 Summer,1908,Summer,Hockey,1
177864,Bjart Ording,M,29.0,Norway,1928 Summer,1928,Summer,Equestrianism,2
177889,Henri Jean Oreiller,M,22.0,France,1948 Winter,1948,Winter,Alpine Skiing,3
177890,Henri Jean Oreiller,M,22.0,France,1948 Winter,1948,Winter,Alpine Skiing,1
177891,Henri Jean Oreiller,M,22.0,France,1948 Winter,1948,Winter,Alpine Skiing,3
177909,"Maria Johanna Martina ""Miriam"" Oremans (-Vermeer)",F,28.0,Netherlands,2000 Summer,2000,Summer,Tennis,2
177943,Georgios D. Orfanidis,M,,Greece,1896 Summer,1896,Summer,Shooting,2
177944,Georgios D. Orfanidis,M,,Greece,1896 Summer,1896,Summer,Shooting,3
177947,Georgios D. Orfanidis,M,,Greece,1906 Summer,1906,Summer,Shooting,3
178000,Carlo Orlandi,M,18.0,Italy,1928 Summer,1928,Summer,Boxing,3
178005,Vittorio Orlandi,M,33.0,Italy,1972 Summer,1972,Summer,Equestrianism,1
