,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
3,Edgar Lindenau Aabye,M,34.0,Denmark/Sweden,1900 Summer,1900,Summer,Tug-Of-War,3
37,Arvo Ossian Aaltonen,M,30.0,Finland,1920 Summer,1920,Summer,Swimming,1
38,Arvo Ossian Aaltonen,M,30.0,Finland,1920 Summer,1920,Summer,Swimming,1
40,Juhamatti Tapio Aaltonen,M,28.0,Finland,2014 Winter,2014,Winter,Ice Hockey,1
41,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,1
42,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
44,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
48,Paavo Johannes Aaltonen,M,28.0,Finland,1948 Summer,1948,Summer,Gymnastics,3
50,Paavo Johannes Aaltonen,M,32.0,Finland,1952 Summer,1952,Summer,Gymnastics,1
60,Kjetil Andr Aamodt,M,20.0,Norway,1992 Winter,1992,Winter,Alpine Skiing,3
61,Kjetil Andr Aamodt,M,20.0,Norway,1992 Winter,1992,Winter,Alpine Skiing,1
63,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,2
64,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,1
67,Kjetil Andr Aamodt,M,22.0,Norway,1994 Winter,1994,Winter,Alpine Skiing,2
73,Kjetil Andr Aamodt,M,30.0,Norway,2002 Winter,2002,Winter,Alpine Skiing,3
76,Kjetil Andr Aamodt,M,30.0,Norway,2002 Winter,2002,Winter,Alpine Skiing,3
78,Kjetil Andr Aamodt,M,34.0,Norway,2006 Winter,2006,Winter,Alpine Skiing,3
79,Ragnhild Margrethe Aamodt,F,27.0,Norway,2008 Summer,2008,Summer,Handball,3
86,Alf Lied Aanning,M,24.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
91,Willemien Aardenburg,F,22.0,Netherlands,1988 Summer,1988,Summer,Hockey,1
92,Pepijn Aardewijn,M,26.0,Netherlands,1996 Summer,1996,Summer,Rowing,2
105,Ann Kristin Aarnes,F,23.0,Norway,1996 Summer,1996,Summer,Football,1
106,Karl Jan Aas,M,20.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
110,Roald Edgar Aas,M,23.0,Norway,1952 Winter,1952,Winter,Speed Skating,1
113,Roald Edgar Aas,M,31.0,Norway,1960 Winter,1960,Winter,Speed Skating,3
117,Thomas Valentin Aas,M,25.0,Taifun,1912 Summer,1912,Summer,Sailing,3
150,Ren Abadie,M,21.0,France,1956 Summer,1956,Summer,Cycling,3
158,Giovanni Abagnale,M,21.0,Italy,2016 Summer,2016,Summer,Rowing,1
159,Jos Luis Abajo Gmez,M,30.0,Spain,2008 Summer,2008,Summer,Fencing,1
161,Patimat Abakarova,F,21.0,Azerbaijan,2016 Summer,2016,Summer,Taekwondo,1
163,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,Russia,2008 Summer,2008,Summer,Athletics,2
172,Aleksey Aleksandrovich Abalmasov,M,28.0,Belarus,2008 Summer,2008,Summer,Canoeing,3
173,Luc Abalo,M,23.0,France,2008 Summer,2008,Summer,Handball,3
174,Luc Abalo,M,27.0,France,2012 Summer,2012,Summer,Handball,3
175,Luc Abalo,M,31.0,France,2016 Summer,2016,Summer,Handball,2
178,Jouan Patrice Abanda Etong,M,22.0,Cameroon,2000 Summer,2000,Summer,Football,3
182,Jos Mara Abarca Plotas,M,22.0,Spain,1996 Summer,1996,Summer,Water Polo,3
186,Stephen Anthony Abas,M,26.0,United States,2004 Summer,2004,Summer,Wrestling,2
188,Alejandro Abascal Garca,M,28.0,Spain,1980 Summer,1980,Summer,Sailing,3
191,Jos Manuel Abascal Gmez,M,26.0,Spain,1984 Summer,1984,Summer,Athletics,1
195,Tamila Rashidovna Abasova,F,21.0,Russia,2004 Summer,2004,Summer,Cycling,2
200,Jol Marc Abati,M,38.0,France,2008 Summer,2008,Summer,Handball,3
208,Pter Abay,M,30.0,Hungary,1992 Summer,1992,Summer,Fencing,2
210,Oszkr Abay-Nemes,M,22.0,Hungary,1936 Summer,1936,Summer,Swimming,1
214,Silvano Abba,M,25.0,Italy,1936 Summer,1936,Summer,Modern Pentathlon,1
218,Agostino Abbagnale,M,22.0,Italy,1988 Summer,1988,Summer,Rowing,3
219,Agostino Abbagnale,M,29.0,Italy,1996 Summer,1996,Summer,Rowing,3
220,Agostino Abbagnale,M,34.0,Italy,2000 Summer,2000,Summer,Rowing,3
221,Carmine Abbagnale,M,22.0,Italy,1984 Summer,1984,Summer,Rowing,3
222,Carmine Abbagnale,M,26.0,Italy,1988 Summer,1988,Summer,Rowing,3
223,Carmine Abbagnale,M,30.0,Italy,1992 Summer,1992,Summer,Rowing,2
226,Giuseppe Abbagnale,M,25.0,Italy,1984 Summer,1984,Summer,Rowing,3
227,Giuseppe Abbagnale,M,29.0,Italy,1988 Summer,1988,Summer,Rowing,3
228,Giuseppe Abbagnale,M,33.0,Italy,1992 Summer,1992,Summer,Rowing,2
268,"George ""Ioannis"" Abbot",M,,Thessalonki-1,1906 Summer,1906,Summer,Football,1
274,"Desmond ""Des"" Abbott",M,21.0,Australia,2008 Summer,2008,Summer,Hockey,1
278,Jeremy Abbott,M,28.0,United States,2014 Winter,2014,Winter,Figure Skating,1
283,Margaret Ives Abbott (-Dunne),F,23.0,United States,1900 Summer,1900,Summer,Golf,3
286,Monica Cecilia Abbott,F,23.0,United States,2008 Summer,2008,Summer,Softball,2
311,Nia Nicole Abdallah,F,20.0,United States,2004 Summer,2004,Summer,Taekwondo,2
450,Saeid Morad Abdevali,M,26.0,Iran,2016 Summer,2016,Summer,Wrestling,1
476,Reema Abdo,F,21.0,Canada,1984 Summer,1984,Summer,Swimming,1
524,Lala Abdul Rashid,M,38.0,Pakistan,1960 Summer,1960,Summer,Hockey,3
525,Muhammad Abdul Rashid,M,23.0,Pakistan,1964 Summer,1964,Summer,Hockey,2
550,Zagalav Abdulbekovich Abdulbekov,M,26.0,Soviet Union,1972 Summer,1972,Summer,Wrestling,3
587,Mukhammad Kadyr Abdullayev,M,26.0,Uzbekistan,2000 Summer,2000,Summer,Boxing,3
590,Namiq Yadulla Abdullayev,M,25.0,Azerbaijan,1996 Summer,1996,Summer,Wrestling,2
591,Namiq Yadulla Abdullayev,M,29.0,Azerbaijan,2000 Summer,2000,Summer,Wrestling,3
609,Julius Shareef Abdur-Rahim,M,23.0,United States,2000 Summer,2000,Summer,Basketball,3
617,Yusup Abdusalomov,M,30.0,Tajikistan,2008 Summer,2008,Summer,Wrestling,2
620,Andrey Khakimovich Abduvaliyev,M,26.0,Unified Team,1992 Summer,1992,Summer,Athletics,3
636,Masashi Abe,M,28.0,Japan,1994 Winter,1994,Winter,Nordic Combined,3
655,Addis Abebe,M,21.0,Ethiopia,1992 Summer,1992,Summer,Athletics,1
663,"Max ""Xam"" Abegglen",M,22.0,Switzerland,1924 Summer,1924,Summer,Football,2
672,Clarence John Abel,M,23.0,United States,1924 Winter,1924,Winter,Ice Hockey,2
673,George Gordon Abel,M,35.0,Canada,1952 Winter,1952,Winter,Ice Hockey,3
677,Irene Abel,F,19.0,East Germany,1972 Summer,1972,Summer,Gymnastics,2
684,Jennifer Abel,F,20.0,Canada,2012 Summer,2012,Summer,Diving,1
700,Egil Sten Abel,M,20.0,Fornebo,1920 Summer,1920,Summer,Sailing,2
702,Abelardo Fernndez Antua,M,22.0,Spain,1992 Summer,1992,Summer,Football,3
710,"Louis Grenville ""Lou"" Abell",M,15.0,Vesper Boat Club,1900 Summer,1900,Summer,Rowing,3
711,"Louis Grenville ""Lou"" Abell",M,19.0,Vesper Boat Club,1904 Summer,1904,Summer,Rowing,3
720,Gezahgne Abera,M,22.0,Ethiopia,2000 Summer,2000,Summer,Athletics,3
727,Nils Georg berg,M,19.0,Sweden,1912 Summer,1912,Summer,Athletics,1
728,Nils Georg berg,M,19.0,Sweden,1912 Summer,1912,Summer,Athletics,2
739,Michael Brent Abernathy,M,22.0,United States,2000 Summer,2000,Summer,Baseball,3
740,Moira Abernethy (-Ford),F,17.0,South Africa,1956 Summer,1956,Summer,Swimming,1
747,Elvan Abeylegesse,F,25.0,Turkey,2008 Summer,2008,Summer,Athletics,2
771,Ismail Abilov (-Nizamolu),M,29.0,Bulgaria,1980 Summer,1980,Summer,Wrestling,3
787,"Edgar Allen ""Ed"" Ablowich",M,19.0,United States,1932 Summer,1932,Summer,Athletics,3
789,Denis Mikhaylovich Ablyazin,M,19.0,Russia,2012 Summer,2012,Summer,Gymnastics,1
790,Denis Mikhaylovich Ablyazin,M,19.0,Russia,2012 Summer,2012,Summer,Gymnastics,2
794,Denis Mikhaylovich Ablyazin,M,24.0,Russia,2016 Summer,2016,Summer,Gymnastics,2
796,Denis Mikhaylovich Ablyazin,M,24.0,Russia,2016 Summer,2016,Summer,Gymnastics,2
797,Denis Mikhaylovich Ablyazin,M,24.0,Russia,2016 Summer,2016,Summer,Gymnastics,1
803,Viktor Andreyevich Aboimov,M,22.0,Soviet Union,1972 Summer,1972,Summer,Swimming,2
804,Viktor Andreyevich Aboimov,M,22.0,Soviet Union,1972 Summer,1972,Summer,Swimming,1
814,"Matthew ""Matt"" Abood",M,30.0,Australia,2016 Summer,2016,Summer,Swimming,1
861,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,Egypt,2012 Summer,2012,Summer,Fencing,2
884,Attila brahm,M,21.0,Hungary,1988 Summer,1988,Summer,Canoeing,1
885,Attila brahm,M,21.0,Hungary,1988 Summer,1988,Summer,Canoeing,3
886,Attila brahm,M,25.0,Hungary,1992 Summer,1992,Summer,Canoeing,2
892,Gary Abraham,M,21.0,Great Britain,1980 Summer,1980,Summer,Swimming,1
903,Ara Abrahamian,M,29.0,Sweden,2004 Summer,2004,Summer,Wrestling,2
915,Harold Maurice Abrahams,M,24.0,Great Britain,1924 Summer,1924,Summer,Athletics,3
917,Harold Maurice Abrahams,M,24.0,Great Britain,1924 Summer,1924,Summer,Athletics,2
921,Isak Abrahamsen,M,21.0,Norway,1912 Summer,1912,Summer,Gymnastics,3
929,Erik Adolf Efraim Abrahamsson,M,22.0,Sweden,1920 Summer,1920,Summer,Athletics,1
935,Karl Gustaf Emanuel Abrahamsson,M,31.0,Sweden,1928 Winter,1928,Winter,Ice Hockey,2
966,Pavel Sergeyevich Abramov,M,25.0,Russia,2004 Summer,2004,Summer,Volleyball,1
971,Nelli Mikhaylovna Abramova,F,24.0,Soviet Union,1964 Summer,1964,Summer,Volleyball,2
974,Yekaterina Konstantinovna Abramova,F,23.0,Russia,2006 Winter,2006,Winter,Speed Skating,1
1029,"Alejandro ""lex"" Abrines Redondo",M,23.0,Spain,2016 Summer,2016,Summer,Basketball,1
1035,Svetlana Olegovna Abrosimova,F,28.0,Russia,2008 Summer,2008,Summer,Basketball,1
1043,Saypulla Atavovich Absaidov,M,22.0,Soviet Union,1980 Summer,1980,Summer,Wrestling,3
1044,Julien Absalon,M,23.0,France,2004 Summer,2004,Summer,Cycling,3
1045,Julien Absalon,M,27.0,France,2008 Summer,2008,Summer,Cycling,3
1080,Ahmad Abughaush,M,20.0,Jordan,2016 Summer,2016,Summer,Taekwondo,3
1089,Ginko Abukawa-Chiba,F,26.0,Japan,1964 Summer,1964,Summer,Gymnastics,1
1105,Aleksandr Veniaminovich Abushakhmetov,M,25.0,Soviet Union,1980 Summer,1980,Summer,Fencing,1
1106,Magomedgasan Mingazhutdinovich Abushev,M,20.0,Soviet Union,1980 Summer,1980,Summer,Wrestling,3
1121,Andreea Roxana Acatrinei,F,16.0,Romania,2008 Summer,2008,Summer,Gymnastics,1
1126,William Accambray,M,24.0,France,2012 Summer,2012,Summer,Handball,3
1133,Paul Accola,M,20.0,Switzerland,1988 Winter,1988,Winter,Alpine Skiing,1
1154,Domingo Gmez-Acedo Villanueva,M,21.0,Spain,1920 Summer,1920,Summer,Football,2
1162,Anibl Santiago Acevedo,M,21.0,Puerto Rico,1992 Summer,1992,Summer,Boxing,1
1173,Daniel Aceves Villagrn,M,19.0,Mexico,1984 Summer,1984,Summer,Wrestling,2
1191,Joachim Yaw Acheampong,M,18.0,Ghana,1992 Summer,1992,Summer,Football,1
1192,Alfred Achermann,M,24.0,Switzerland,1984 Summer,1984,Summer,Cycling,2
1196,Abdel Hak Achik,M,29.0,Morocco,1988 Summer,1988,Summer,Boxing,1
1198,Mohamed Abdelhak Achik,M,27.0,Morocco,1992 Summer,1992,Summer,Boxing,1
1210,Rita Nikolayevna Achkina,F,30.0,Soviet Union,1968 Winter,1968,Winter,Cross Country Skiing,1
1227,Chantal Achterberg,F,27.0,Netherlands,2012 Summer,2012,Summer,Rowing,1
1228,Chantal Achterberg,F,31.0,Netherlands,2016 Summer,2016,Summer,Rowing,2
1237,Fausto Alesio Acke (Padovini-),M,22.0,Sweden,1920 Summer,1920,Summer,Gymnastics,3
1238,Paul Douglas Ackerley,M,27.0,New Zealand,1976 Summer,1976,Summer,Hockey,3
1239,"Charles Edwin ""Charley"" Ackerly",M,22.0,United States,1920 Summer,1920,Summer,Wrestling,3
1244,Ronny Ackermann,M,24.0,Germany,2002 Winter,2002,Winter,Nordic Combined,2
1246,Ronny Ackermann,M,24.0,Germany,2002 Winter,2002,Winter,Nordic Combined,2
1247,Ronny Ackermann,M,28.0,Germany,2006 Winter,2006,Winter,Nordic Combined,2
1254,Donat Acklin,M,26.0,Switzerland-1,1992 Winter,1992,Winter,Bobsleigh,3
1255,Donat Acklin,M,26.0,Switzerland-1,1992 Winter,1992,Winter,Bobsleigh,1
1256,Donat Acklin,M,28.0,Switzerland-1,1994 Winter,1994,Winter,Bobsleigh,3
1257,Donat Acklin,M,28.0,Switzerland-1,1994 Winter,1994,Winter,Bobsleigh,2
1258,Guido Acklin,M,24.0,Switzerland-2,1994 Winter,1994,Winter,Bobsleigh,2
1276,Lautaro Germn Acosta,M,20.0,Argentina,2008 Summer,2008,Summer,Football,3
1288,Osmay Acosta Duarte,M,23.0,Cuba,2008 Summer,2008,Summer,Boxing,1
1293,Martn Ral Acosta y Lara Daz,M,27.0,Uruguay,1952 Summer,1952,Summer,Basketball,1
1325,Kazimierz Piotr Adach,M,23.0,Poland,1980 Summer,1980,Summer,Boxing,1
1345,"Gordon Belgum ""Gordy"" Adam",M,21.0,United States,1936 Summer,1936,Summer,Rowing,3
1352,Ji Adam,M,25.0,Czechoslovakia,1976 Summer,1976,Summer,Modern Pentathlon,2
1366,"Michael B. ""Mike"" Adam",M,24.0,Canada,2006 Winter,2006,Winter,Curling,3
1373,Otto Adam,M,26.0,Germany,1936 Summer,1936,Summer,Fencing,1
1375,Pierre Louis Eugne Adam,M,24.0,France,1948 Summer,1948,Summer,Cycling,3
1388,Dariusz Adamczuk,M,22.0,Poland,1992 Summer,1992,Summer,Football,2
1450,"Benjamin Willard ""Ben"" Adams",M,22.0,United States,1912 Summer,1912,Summer,Athletics,2
1451,"Benjamin Willard ""Ben"" Adams",M,22.0,United States,1912 Summer,1912,Summer,Athletics,1
1462,Edgar Holmes Adams,M,36.0,United States,1904 Summer,1904,Summer,Swimming,2
1472,Harry Lester Adams,M,31.0,United States,1912 Summer,1912,Summer,Shooting,3
1490,Adrian Neil Adams,M,21.0,Great Britain,1980 Summer,1980,Summer,Judo,2
1491,Adrian Neil Adams,M,25.0,Great Britain,1984 Summer,1984,Summer,Judo,2
1494,Nicola Virginia Adams,F,29.0,Great Britain,2012 Summer,2012,Summer,Boxing,3
1495,Nicola Virginia Adams,F,33.0,Great Britain,2016 Summer,2016,Summer,Boxing,3
1511,Platt Adams,M,27.0,United States,1912 Summer,1912,Summer,Athletics,3
1512,Platt Adams,M,27.0,United States,1912 Summer,1912,Summer,Athletics,2
1514,Rachael Alexis Adams,F,26.0,United States,2016 Summer,2016,Summer,Volleyball,1
1519,"Victoria ""Vicki"" Adams",F,24.0,Great Britain,2014 Winter,2014,Winter,Curling,1
1527,Valerie Kasanita Adams-Vili (-Price),F,23.0,New Zealand,2008 Summer,2008,Summer,Athletics,3
1528,Valerie Kasanita Adams-Vili (-Price),F,27.0,New Zealand,2012 Summer,2012,Summer,Athletics,3
1529,Valerie Kasanita Adams-Vili (-Price),F,31.0,New Zealand,2016 Summer,2016,Summer,Athletics,2
1533,Filip Kamil Adamski,M,29.0,Germany,2012 Summer,2012,Summer,Rowing,3
1534,Herbert Adamski,M,26.0,Germany,1936 Summer,1936,Summer,Rowing,3
1535,Jerzy Adamski,M,23.0,Poland,1960 Summer,1960,Summer,Boxing,2
1579,Simon Addo,M,17.0,Ghana,1992 Summer,1992,Summer,Football,1
1583,Eugene Addor,M,,Switzerland,1920 Summer,1920,Summer,Shooting,1
1617,Olubayo Adefemi,M,22.0,Nigeria,2008 Summer,2008,Summer,Football,2
1637,"Ayodele ""Dele"" Adeleye",M,19.0,Nigeria,2008 Summer,2008,Summer,Football,2
1651,Ademir Roque Kaefer,M,24.0,Brazil,1984 Summer,1984,Summer,Football,2
1652,Ademir Roque Kaefer,M,28.0,Brazil,1988 Summer,1988,Summer,Football,2
1665,Olapade Charles Adeniken,M,22.0,Nigeria,1992 Summer,1992,Summer,Athletics,2
1668,Adenzia Aparecida Ferreira da Silva,F,25.0,Brazil,2012 Summer,2012,Summer,Volleyball,3
1712,Franck Adisson,M,23.0,France-1,1992 Summer,1992,Summer,Canoeing,1
1713,Franck Adisson,M,26.0,France-1,1996 Summer,1996,Summer,Canoeing,3
1720,"Richard ""Richy""  Adjei",M,27.0,Germany-2,2010 Winter,2010,Winter,Bobsleigh,2
1722,Sammi Adjei,M,18.0,Ghana,1992 Summer,1992,Summer,Football,1
1727,"Charles ""Chuck"" Adkins",M,20.0,United States,1952 Summer,1952,Summer,Boxing,3
1728,Derrick Ralph Adkins,M,26.0,United States,1996 Summer,1996,Summer,Athletics,3
1729,"Robert Edward ""Bob"" Adlard",M,32.0,Great Britain,1948 Summer,1948,Summer,Hockey,2
1733,Daniel Adler,M,26.0,Brazil,1984 Summer,1984,Summer,Sailing,2
1737,Egon Adler,M,23.0,Germany,1960 Summer,1960,Summer,Cycling,2
1739,"Margarete ""Grete"" Adler",F,16.0,Austria,1912 Summer,1912,Summer,Swimming,1
1752,Gregor Nils Henric Adlercreutz,M,37.0,Sweden,1936 Summer,1936,Summer,Equestrianism,1
1755,Nils August Domingo Adlercreutz,M,45.0,Sweden,1912 Summer,1912,Summer,Equestrianism,3
1756,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,39.0,Sweden,1908 Summer,1908,Summer,Tennis,1
1762,Erik William Adlerz,M,19.0,Sweden,1912 Summer,1912,Summer,Diving,3
1763,Erik William Adlerz,M,19.0,Sweden,1912 Summer,1912,Summer,Diving,3
1764,Erik William Adlerz,M,27.0,Sweden,1920 Summer,1920,Summer,Diving,2
1772,"Rebecca ""Becky"" Adlington",F,19.0,Great Britain,2008 Summer,2008,Summer,Swimming,3
1773,"Rebecca ""Becky"" Adlington",F,19.0,Great Britain,2008 Summer,2008,Summer,Swimming,3
1774,"Rebecca ""Becky"" Adlington",F,23.0,Great Britain,2012 Summer,2012,Summer,Swimming,1
1775,"Rebecca ""Becky"" Adlington",F,23.0,Great Britain,2012 Summer,2012,Summer,Swimming,1
1807,Dainius Adomaitis,M,26.0,Lithuania,2000 Summer,2000,Summer,Basketball,1
1843,Nathan Ghar-Jun Adrian,M,19.0,United States,2008 Summer,2008,Summer,Swimming,3
1844,Nathan Ghar-Jun Adrian,M,23.0,United States,2012 Summer,2012,Summer,Swimming,3
1845,Nathan Ghar-Jun Adrian,M,23.0,United States,2012 Summer,2012,Summer,Swimming,2
1846,Nathan Ghar-Jun Adrian,M,23.0,United States,2012 Summer,2012,Summer,Swimming,3
1847,Nathan Ghar-Jun Adrian,M,27.0,United States,2016 Summer,2016,Summer,Swimming,1
1848,Nathan Ghar-Jun Adrian,M,27.0,United States,2016 Summer,2016,Summer,Swimming,1
1849,Nathan Ghar-Jun Adrian,M,27.0,United States,2016 Summer,2016,Summer,Swimming,3
1850,Nathan Ghar-Jun Adrian,M,27.0,United States,2016 Summer,2016,Summer,Swimming,3
1856,Adriana Aparecida dos Santos,F,25.0,Brazil,1996 Summer,1996,Summer,Basketball,2
1857,Adriana Aparecida dos Santos,F,29.0,Brazil,2000 Summer,2000,Summer,Basketball,1
1863,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,Brazil,2000 Summer,2000,Summer,Basketball,1
1872,Attila Adrovicz,M,30.0,Hungary,1996 Summer,1996,Summer,Canoeing,2
1899,Klaus Aeffke,M,24.0,Germany,1964 Summer,1964,Summer,Rowing,2
1942,Kseniya Dmitriyevna Afanasyeva,F,20.0,Russia,2012 Summer,2012,Summer,Gymnastics,2
1962,Maksim Sergeyevich Afinogenov,M,22.0,Russia,2002 Winter,2002,Winter,Ice Hockey,1
1968,"Olabisi ""Bisi"" Afolabi",F,20.0,Nigeria,1996 Summer,1996,Summer,Athletics,2
1976,Felicia Afrsiloaie (-Jitianu),F,22.0,Romania,1976 Summer,1976,Summer,Rowing,1
1977,Cecil Sebastian Afrika,M,28.0,South Africa,2016 Summer,2016,Summer,Rugby Sevens,1
1997,Muhammad Afzal Manna,M,25.0,Pakistan,1964 Summer,1964,Summer,Hockey,2
2002,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,South Africa,2016 Summer,2016,Summer,Rugby Sevens,1
2005,Lavinia Agache (-Carney),F,16.0,Romania,1984 Summer,1984,Summer,Gymnastics,3
2007,Lavinia Agache (-Carney),F,16.0,Romania,1984 Summer,1984,Summer,Gymnastics,1
2016,Luca Agamennoni,M,24.0,Italy,2004 Summer,2004,Summer,Rowing,1
2017,Luca Agamennoni,M,27.0,Italy,2008 Summer,2008,Summer,Rowing,2
2031,Andre Kirk Agassi,M,26.0,United States,1996 Summer,1996,Summer,Tennis,3
2044,Clarisse Agbegnenou,F,23.0,France,2016 Summer,2016,Summer,Judo,2
2062,Henrik Agersborg,M,47.0,Stella-2,1920 Summer,1920,Summer,Sailing,1
2065,Viktor Ivanovich Ageyev,M,20.0,Soviet Union,1956 Summer,1956,Summer,Water Polo,1
2066,Viktor Ivanovich Ageyev,M,24.0,Soviet Union,1960 Summer,1960,Summer,Water Polo,2
2067,Viktor Ivanovich Ageyev,M,28.0,Soviet Union,1964 Summer,1964,Summer,Water Polo,1
2099,Marilyn Agliotti,F,29.0,Netherlands,2008 Summer,2008,Summer,Hockey,3
2100,Marilyn Agliotti,F,33.0,Netherlands,2012 Summer,2012,Summer,Hockey,3
2110,Yannick Agnel,M,20.0,France,2012 Summer,2012,Summer,Swimming,3
2111,Yannick Agnel,M,20.0,France,2012 Summer,2012,Summer,Swimming,3
2112,Yannick Agnel,M,20.0,France,2012 Summer,2012,Summer,Swimming,2
2126,Meghan Christina Agosta (-Marciano),F,18.0,Canada,2006 Winter,2006,Winter,Ice Hockey,3
2127,Meghan Christina Agosta (-Marciano),F,23.0,Canada,2010 Winter,2010,Winter,Ice Hockey,3
2128,Meghan Christina Agosta (-Marciano),F,26.0,Canada,2014 Winter,2014,Winter,Ice Hockey,3
2138,"Benjamin Alexandro ""Ben"" Agosto",M,24.0,United States-1,2006 Winter,2006,Winter,Figure Skating,2
2143,Judit goston-Mendelnyi,F,27.0,Hungary,1964 Summer,1964,Summer,Fencing,3
2144,Carlo Agostoni Faini,M,19.0,Italy,1928 Summer,1928,Summer,Fencing,3
2145,Carlo Agostoni Faini,M,23.0,Italy,1932 Summer,1932,Summer,Fencing,1
2146,Carlo Agostoni Faini,M,23.0,Italy,1932 Summer,1932,Summer,Fencing,2
2148,Carlo Agostoni Faini,M,39.0,Italy,1948 Summer,1948,Summer,Fencing,2
2159,Erik Alfred gren,M,20.0,Sweden,1936 Summer,1936,Summer,Boxing,1
2170,Ioannis Agrimis,M,,"Large boat, Central Naval Prep School ""Poros""-1",1906 Summer,1906,Summer,Rowing,3
2173,"Estella ""Stella"" Agsteribbe (-Blits)",F,19.0,Netherlands,1928 Summer,1928,Summer,Gymnastics,3
2183,Sergio Leonel Agero del Castillo,M,20.0,Argentina,2008 Summer,2008,Summer,Football,3
2184,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,Cuba,2000 Summer,2000,Summer,Volleyball,3
2256,Jos Aguilar Pulsn,M,20.0,Cuba,1980 Summer,1980,Summer,Boxing,1
2263,Macarena Aguilar Daz,F,27.0,Spain,2012 Summer,2012,Summer,Handball,1
2280,Sandra Aguilar Navarro,F,23.0,Spain,2016 Summer,2016,Summer,Rhythmic Gymnastics,2
2288,Jorge Luis Aguilera Ruiz,M,26.0,Cuba,1992 Summer,1992,Summer,Athletics,1
2331,Sri Wahyuni Agustiani,F,21.0,Indonesia,2016 Summer,2016,Summer,Weightlifting,2
2352,Robyn Mokihana Ah Mow-Santos,F,32.0,United States,2008 Summer,2008,Summer,Volleyball,2
2363,Kevin Joseph Ahearn,M,23.0,United States,1972 Winter,1972,Winter,Ice Hockey,2
2367,"Timothy Joseph ""Tim"" Ahearne",M,22.0,Great Britain,1908 Summer,1908,Summer,Athletics,3
2386,Bruno Valfrid Ahlberg,M,21.0,Finland,1932 Summer,1932,Summer,Boxing,1
2391,Mats Bertil hlberg,M,32.0,Sweden,1980 Winter,1980,Winter,Ice Hockey,1
2396,Annica Gunilla hln,F,27.0,Sweden,2002 Winter,2002,Winter,Ice Hockey,1
2397,Johan Petter hln (Andersson-),M,44.0,Sweden,1924 Winter,1924,Winter,Curling,2
2398,Thomas Valter hln,M,24.0,Sweden,1984 Winter,1984,Winter,Ice Hockey,1
2403,Anselm Ahlfors,M,26.0,Finland,1924 Summer,1924,Summer,Wrestling,2
2406,Anders Oscar Ahlgren,M,24.0,Sweden,1912 Summer,1912,Summer,Wrestling,2
2410,George Lewis Ahlgren,M,19.0,United States,1948 Summer,1948,Summer,Rowing,3
2423,Christian Ahlmann,M,29.0,Germany,2004 Summer,2004,Summer,Equestrianism,1
2429,Christian Ahlmann,M,41.0,Germany,2016 Summer,2016,Summer,Equestrianism,1
2433,Thure Johan Ahlqvist,M,25.0,Sweden,1932 Summer,1932,Summer,Boxing,2
2438,"Sten Olov ""Olle"" hlund",M,31.0,Sweden,1952 Summer,1952,Summer,Football,1
2453,Tontowi Ahmad,M,29.0,Indonesia-1,2016 Summer,2016,Summer,Badminton,3
2462,Arne Per hman,M,23.0,Sweden,1948 Summer,1948,Summer,Athletics,3
2465,Jrg Ahmann,M,34.0,Germany-1,2000 Summer,2000,Summer,Beach Volleyball,1
2466,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,United States,1992 Summer,1992,Summer,Swimming,3
2467,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,United States,1992 Summer,1992,Summer,Swimming,2
2468,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,United States,1992 Summer,1992,Summer,Swimming,3
2475,Muhammad Akhlaq Ahmed,M,20.0,Pakistan,1992 Summer,1992,Summer,Hockey,1
2478,Muhammad Ashfaq Ahmed,M,21.0,Pakistan,1968 Summer,1968,Summer,Hockey,3
2480,Bashir Ahmed,M,25.0,Pakistan,1960 Summer,1960,Summer,Hockey,3
2489,Ishtiaq Ahmed,M,21.0,Pakistan,1984 Summer,1984,Summer,Hockey,3
2493,Manzoor Ahmed,M,24.0,Pakistan,1992 Summer,1992,Summer,Hockey,1
2502,Mushtaq Ahmed,M,28.0,Pakistan,1984 Summer,1984,Summer,Hockey,3
2503,Mushtaq Ahmed,M,27.0,Pakistan,1960 Summer,1960,Summer,Hockey,3
